id,name,symbol,slug,date_added,price
1567,Nano,NANO,nano,2017-03-06T00:00:00.000Z,1.04016040261
1042,Siacoin,SC,siacoin,2015-08-26T00:00:00.000Z,0.0032307750187
1866,Bytom,BTM,bytom,2017-08-08T00:00:00.000Z,0.102384744482
4846,Kava.io,KAVA,kava,2019-10-25T00:00:00.000Z,4.01164765558
213,MonaCoin,MONA,monacoin,2014-03-20T00:00:00.000Z,1.95925624023
4847,Blockstack,STX,blockstack,2019-10-28T00:00:00.000Z,0.237609078951
4948,Nervos Network,CKB,nervos-network,2019-11-19T00:00:00.000Z,0.00615028099351
3356,The Midas Touch Gold,TMTG,the-midas-touch-gold,2018-09-27T00:00:00.000Z,0.0284968604977
3441,Divi,DIVI,divi,2018-10-12T00:00:00.000Z,0.0659565962189
1637,iExec RLC,RLC,rlc,2017-04-20T00:00:00.000Z,1.50394884055
3351,ZB Token,ZB,zb-token,2018-09-27T00:00:00.000Z,0.247746101892
3139,DxChain Token,DX,dxchain-token,2018-08-10T00:00:00.000Z,0.002284284583
1680,Aragon,ANT,aragon,2017-05-18T00:00:00.000Z,3.36045432583
1698,Horizen,ZEN,horizen,2017-06-01T00:00:00.000Z,10.8889281181
693,Verge,XVG,verge,2014-10-25T00:00:00.000Z,0.00636827420432
4157,THORChain,RUNE,thorchain,2019-07-23T00:00:00.000Z,0.655366150487
1759,Status,SNT,status,2017-06-28T00:00:00.000Z,0.0275023052383
2694,Nexo,NEXO,nexo,2018-05-01T00:00:00.000Z,0.167854668968
2700,Celsius,CEL,celsius,2018-05-18T00:00:00.000Z,0.392951388266
2874,Aurora,AOA,aurora,2018-06-26T00:00:00.000Z,0.0141247714193
2405,IOST,IOST,iostoken,2018-01-16T00:00:00.000Z,0.00602263874326
3890,Matic Network,MATIC,matic-network,2019-04-28T00:00:00.000Z,0.0236448960608
3155,Quant,QNT,quant,2018-08-10T00:00:00.000Z,7.3381987907
1776,MCO,MCO,crypto-com,2017-07-03T00:00:00.000Z,5.46637979525
1414,Zcoin,XZC,zcoin,2016-10-06T00:00:00.000Z,7.95996143484
1521,Komodo,KMD,komodo,2017-02-05T00:00:00.000Z,0.701541687923
5268,Energy Web Token,EWT,energy-web-token,2020-03-28T00:00:00.000Z,12.2103385682
1230,Steem,STEEM,steem,2016-04-18T00:00:00.000Z,0.218544663713
5370,Hive,HIVE,hive-blockchain,2020-03-26T00:00:00.000Z,0.266317647502
5488,JUST,JST,just,2020-05-07T00:00:00.000Z,0.0558454342698
463,BitShares,BTS,bitshares,2014-07-21T00:00:00.000Z,0.0261768547269
2087,KuCoin Shares,KCS,kucoin-shares,2017-10-24T00:00:00.000Z,0.970416123706
2499,SwissBorg,CHSB,swissborg,2018-02-02T00:00:00.000Z,0.108478081031
3964,Reserve Rights,RSR,reserve-rights,2019-05-24T00:00:00.000Z,0.0110476308846
5794,pNetwork,PNT,pnetwork,2020-07-01T00:00:00.000Z,1.32444680996
3437,ABBC Coin,ABBC,abbc-coin,2018-10-12T00:00:00.000Z,0.13570494446
2634,XinFin Network,XDCE,xinfin-network,2018-04-12T00:00:00.000Z,0.00613711500645
2570,TomoChain,TOMO,tomochain,2018-03-08T00:00:00.000Z,1.03299401415
